Number of Particles,Frame Time,Update Time
40,0.00367,0.002992
40,0.003501,0.002956
40,0.003455,0.003158
40,0.003692,0.002968
40,0.003543,0.002978
40,0.003513,0.003144
40,0.003652,0.003354
40,0.003878,0.002966
40,0.003462,0.003042
40,0.003576,0.002947
40,0.00347,0.003019
40,0.003537,0.002966
40,0.003468,0.002927
40,0.003425,0.00318
40,0.003722,0.002993
40,0.003498,0.003051
40,0.003577,0.002968
40,0.003468,0.002932
40,0.003469,0.003019
41,0.003552,0.003076
42,0.003607,0.003217
42,0.003737,0.00313
42,0.003627,0.003131
42,0.003672,0.003136
42,0.003701,0.00313
42,0.003655,0.003162
43,0.003693,0.003611
43,0.004235,0.003443
43,0.004011,0.003218
43,0.00373,0.003196
44,0.003718,0.003218
44,0.003724,0.00384
45,0.00446,0.003761
45,0.004298,0.003332
46,0.003851,0.003363
46,0.003884,0.003426
46,0.004004,0.003417
46,0.003949,0.003404
47,0.00393,0.00341
47,0.003938,0.00368
48,0.004257,0.003623
48,0.004169,0.003634
48,0.004167,0.003573
48,0.004098,0.003789
48,0.004374,0.003606
48,0.004147,0.003593
48,0.00413,0.003532
48,0.004092,0.003893
48,0.004471,0.003556
48,0.004091,0.003549
48,0.004083,0.003597
49,0.004157,0.003923
49,0.004955,0.003676
49,0.004212,0.003681
50,0.00422,0.003806
50,0.004373,0.003895
50,0.004479,0.003724
50,0.004269,0.00368
50,0.004219,0.004069
50,0.004686,0.003813
50,0.004393,0.003825
50,0.004375,0.003779
50,0.004348,0.004142
50,0.004729,0.004175
50,0.004742,0.003766
50,0.004351,0.003748
50,0.0043,0.00383
50,0.004407,0.003738
50,0.00428,0.00379
50,0.00438,0.003735
50,0.004281,0.003858
50,0.004438,0.003758
50,0.004304,0.003862
50,0.004441,0.00377
51,0.004329,0.004062
52,0.004652,0.003887
52,0.004459,0.003877
53,0.004444,0.004138
53,0.004737,0.00397
53,0.004531,0.004109
53,0.004697,0.003892
53,0.004451,0.004121
53,0.004722,0.003977
53,0.00459,0.003937
53,0.004501,0.003935
53,0.004492,0.004166
53,0.004759,0.004115
53,0.004703,0.003907
53,0.004462,0.004008
53,0.004596,0.004051
53,0.004646,0.003898
53,0.004458,0.003966
53,0.004537,0.004251
53,0.004854,0.003979
53,0.004554,0.003928
53,0.004484,0.003896
53,0.004483,0.005141
54,0.005786,0.004601
54,0.005267,0.005481
54,0.006152,0.005568
55,0.006273,0.005594
55,0.006317,0.005892
55,0.006659,0.005324
55,0.005995,0.005474
55,0.006189,0.005665
55,0.006349,0.005692
55,0.006499,0.005079
55,0.00578,0.004843
55,0.005472,0.004796
56,0.005492,0.004856
57,0.005536,0.004671
57,0.005261,0.004252
57,0.00487,0.004235
57,0.004817,0.004535
57,0.005155,0.004269
57,0.00485,0.00445
58,0.005056,0.0044
58,0.005025,0.004819
58,0.005465,0.004549
59,0.005201,0.004556
59,0.005212,0.004985
59,0.005655,0.005344
59,0.006016,0.00514
60,0.005826,0.005403
61,0.006068,0.005223
61,0.005826,0.005239
61,0.005861,0.004978
61,0.005574,0.004848
61,0.005474,0.004652
61,0.005277,0.004705
61,0.005323,0.004449
61,0.005041,0.004642
61,0.005265,0.004606
61,0.005227,0.004512
61,0.005118,0.004676
62,0.005292,0.004819
63,0.005443,0.004696
63,0.005304,0.004732
63,0.005395,0.004936
63,0.005569,0.004677
64,0.005288,0.004721
64,0.005351,0.00517
64,0.005822,0.004723
64,0.005345,0.00463
64,0.005245,0.005075
64,0.005726,0.00471
64,0.005312,0.004711
64,0.005488,0.004968
64,0.00563,0.004703
64,0.005313,0.004726
64,0.005356,0.005037
64,0.005676,0.004878
64,0.005504,0.00476
64,0.005396,0.004994
64,0.005628,0.004715
64,0.005324,0.00487
64,0.005499,0.005018
64,0.00566,0.004772
64,0.005384,0.004825
64,0.00545,0.004944
64,0.005575,0.004753
64,0.005369,0.00479
64,0.005413,0.004967
65,0.005608,0.004757
65,0.005376,0.005055
65,0.005694,0.005031
65,0.005673,0.004868
65,0.005478,0.00505
65,0.005691,0.004785
65,0.005417,0.004893
65,0.005602,0.004961
65,0.005594,0.005064
66,0.005703,0.004965
66,0.005616,0.004934
67,0.005559,0.005228
67,0.005868,0.005056
68,0.005702,0.004965
68,0.005594,0.005256
68,0.005904,0.005035
69,0.005685,0.005076
69,0.005748,0.005077
69,0.005722,0.005215
69,0.005844,0.005017
69,0.005672,0.005196
69,0.005851,0.005155
70,0.005798,0.005227
70,0.005891,0.00526
70,0.00593,0.005215
71,0.005873,0.005357
71,0.006019,0.005428
71,0.006092,0.005256
71,0.005896,0.0053
71,0.00598,0.005256
71,0.005902,0.005327
72,0.006003,0.005719
72,0.006388,0.005367
73,0.006006,0.005628
73,0.006401,0.005452
73,0.00614,0.00538
73,0.006015,0.00565
74,0.006327,0.005497
74,0.006148,0.005538
74,0.006186,0.005986
74,0.00667,0.00545
74,0.006099,0.005866
74,0.006545,0.005484
74,0.006137,0.005502
74,0.006141,0.005953
75,0.006634,0.005568
76,0.006225,0.005689
76,0.007169,0.005928
77,0.006605,0.006197
77,0.006902,0.005828
78,0.00651,0.005681
79,0.006364,0.006095
79,0.006854,0.005993
79,0.006674,0.005966
79,0.006648,0.00606
79,0.006746,0.0058
79,0.006466,0.006005
79,0.006734,0.005917
79,0.006609,0.005987
80,0.006673,0.006059
81,0.006753,0.005974
81,0.006663,0.006008
82,0.006773,0.006068
82,0.006751,0.00634
82,0.007044,0.006208
82,0.006905,0.00611
83,0.006806,0.006358
83,0.007058,0.006282
83,0.007009,0.006248
83,0.006937,0.006473
83,0.007176,0.005991
83,0.006671,0.006102
83,0.006802,0.006274
84,0.006981,0.006221
85,0.007055,0.006327
85,0.007039,0.006342
85,0.007032,0.006579
86,0.007293,0.006387
86,0.007085,0.00647
86,0.007284,0.006427
86,0.007145,0.00638
86,0.007117,0.006765
86,0.007481,0.006284
86,0.00698,0.006712
86,0.007439,0.006193
87,0.006878,0.006602
87,0.007324,0.006473
87,0.007175,0.006371
87,0.007112,0.006583
87,0.007306,0.006334
87,0.007121,0.006739
87,0.007462,0.006456
87,0.007151,0.007449
88,0.008195,0.006346
88,0.007045,0.006835
88,0.007556,0.006518
88,0.007221,0.006708
88,0.007477,0.006549
89,0.007265,0.006628
89,0.007341,0.006826
89,0.007548,0.006678
89,0.007401,0.006698
89,0.007422,0.006538
89,0.007286,0.006851
89,0.007569,0.006585
89,0.007315,0.00657
89,0.007341,0.006502
89,0.007215,0.006908
89,0.00764,0.006888
89,0.007608,0.007126
89,0.007859,0.006747
89,0.007471,0.006716
89,0.007444,0.006818
89,0.007661,0.007821
89,0.008603,0.007529
89,0.008328,0.008003
90,0.008804,0.00796
90,0.008784,0.007894
90,0.00862,0.007795
90,0.008535,0.007435
90,0.00815,0.007609
90,0.008339,0.006739
91,0.00746,0.006836
92,0.007574,0.00682
92,0.007542,0.006992
92,0.007724,0.006816
92,0.00753,0.006852
93,0.007651,0.006837
93,0.007575,0.006954
93,0.007688,0.007168
93,0.007902,0.006953
93,0.007697,0.007313
93,0.008054,0.006846
93,0.007581,0.006957
93,0.007685,0.006787
93,0.007522,0.006959
93,0.007693,0.006786
93,0.007566,0.006997
93,0.007738,0.006883
93,0.007607,0.006968
93,0.007748,0.006904
93,0.007638,0.007046
93,0.007816,0.007097
93,0.007836,0.006985
93,0.007719,0.007104
93,0.007846,0.007181
93,0.007914,0.00693
93,0.007665,0.006963
94,0.007695,0.00705
94,0.007785,0.007123
94,0.007859,0.007092
95,0.007838,0.007065
95,0.007809,0.007118
95,0.007976,0.007293
95,0.008051,0.007092
95,0.007858,0.007325
95,0.008077,0.007094
95,0.007857,0.007261
95,0.008009,0.00706
95,0.007786,0.007496
95,0.008252,0.006983
95,0.007713,0.008139
95,0.008891,0.007144
95,0.007871,0.007325
96,0.00809,0.007123
96,0.007859,0.007479
96,0.008236,0.007208
96,0.008027,0.007334
97,0.008093,0.007064
97,0.007927,0.007372
98,0.008151,0.007263
98,0.008081,0.00738
98,0.008129,0.007198
98,0.007972,0.007265
99,0.008023,0.007338
100,0.008414,0.0079
100,0.008672,0.007485
100,0.008273,0.007479
100,0.008243,0.007539
100,0.008301,0.008357
100,0.009127,0.007417
100,0.008175,0.00751
100,0.00827,0.007347
100,0.008101,0.008001
100,0.008763,0.007907
100,0.011813,0.007502
100,0.008273,0.007372
100,0.008151,0.007526
100,0.00829,0.007351
100,0.008103,0.007716
100,0.008492,0.007116
100,0.007897,0.007703
100,0.008478,0.00735
100,0.00809,0.007715
100,0.008483,0.007421
101,0.00817,0.007917
101,0.008686,0.007354
102,0.008183,0.008644
102,0.009417,0.007425
102,0.008246,0.007634
102,0.008398,0.007571
102,0.008408,0.007647
103,0.008414,0.007799
103,0.008571,0.007568
103,0.00833,0.007788
104,0.008562,0.007758
104,0.008529,0.007788
104,0.008563,0.007575
104,0.008341,0.007872
104,0.008657,0.00762
104,0.008377,0.008015
104,0.008788,0.008396
104,0.00919,0.007871
104,0.008644,0.00767
104,0.008445,0.007864
104,0.008644,0.007935
104,0.00871,0.007806
104,0.008582,0.007854
105,0.008627,0.007709
105,0.008479,0.008023
105,0.008809,0.007922
105,0.008808,0.007688
105,0.00847,0.007993
105,0.008787,0.007791
105,0.008562,0.008033
105,0.008817,0.007784
105,0.008554,0.008065
105,0.00886,0.007638
105,0.008407,0.008196
105,0.008987,0.007784
105,0.00865,0.007723
105,0.008497,0.007856
105,0.008677,0.008724
106,0.009519,0.008211
106,0.009086,0.008707
106,0.009575,0.009475
106,0.010343,0.008923
107,0.009764,0.009294
107,0.010175,0.009203
107,0.009992,0.00876
107,0.009651,0.008148
107,0.008942,0.008044
107,0.008892,0.008107
107,0.008901,0.00797
107,0.008757,0.00812
107,0.008906,0.008035
107,0.008835,0.007826
108,0.008616,0.008269
108,0.009111,0.007978
108,0.00884,0.008201
108,0.00899,0.008097
108,0.008933,0.007998
108,0.008785,0.007993
109,0.008782,0.008129
109,0.00892,0.008262
109,0.009052,0.008092
109,0.008908,0.008016
109,0.008805,0.008298
110,0.009093,0.008089
110,0.008876,0.00851
110,0.009314,0.008082
110,0.008915,0.008198
110,0.008995,0.008315
110,0.009114,0.008143
110,0.008935,0.008291
110,0.00909,0.008179
110,0.008989,0.008412
110,0.009217,0.008159
111,0.009022,0.008321
111,0.00912,0.00815
111,0.008947,0.00852
112,0.009319,0.008397
112,0.009209,0.008374
112,0.009182,0.008505
112,0.00933,0.008417
112,0.009238,0.00856
112,0.009361,0.008417
113,0.009224,0.008312
114,0.009118,0.008505
114,0.009325,0.008804
114,0.009627,0.009447
114,0.010265,0.008563
114,0.009372,0.008548
114,0.009354,0.008452
114,0.010269,0.008722
114,0.009533,0.009251
115,0.010106,0.008861
115,0.009679,0.008778
115,0.009594,0.009348
115,0.010155,0.008683
115,0.009493,0.009052
115,0.00985,0.00981
116,0.010633,0.008817
116,0.009627,0.009463
116,0.010271,0.008865
116,0.009682,0.009411
116,0.010234,0.008767
117,0.00959,0.008814
117,0.009643,0.008511
118,0.009326,0.009042
118,0.009864,0.008784
118,0.009619,0.008904
118,0.00977,0.008848
118,0.009869,0.008819
118,0.009637,0.008891
119,0.009718,0.008965
119,0.009795,0.008848
119,0.009671,0.009018
120,0.009852,0.008935
120,0.009805,0.008991
120,0.009832,0.008924
121,0.009756,0.009064
121,0.00989,0.008989
121,0.009822,0.009249
121,0.010085,0.008985
121,0.009818,0.008952
121,0.009788,0.009065
121,0.009893,0.00909
121,0.009928,0.010111
121,0.010947,0.009178
121,0.010001,0.009165
121,0.009999,0.009162
121,0.009988,0.008922
121,0.00976,0.009196
122,0.010042,0.009247
122,0.010103,0.009004
122,0.009828,0.009362
123,0.010202,0.00913
123,0.009961,0.009358
124,0.010207,0.009407
124,0.010249,0.009093
125,0.00994,0.00962
125,0.010465,0.009256
125,0.010107,0.009577
125,0.010433,0.00935
125,0.010189,0.009471
126,0.010331,0.009426
126,0.010284,0.009435
126,0.010416,0.010409
126,0.011269,0.010902
126,0.011861,0.011352
126,0.012283,0.01077
126,0.011623,0.010596
126,0.011458,0.009877
126,0.010723,0.009317
126,0.010177,0.009476
126,0.010363,0.009253
126,0.010151,0.009435
126,0.010294,0.009374
126,0.010239,0.009331
126,0.010183,0.009569
126,0.010428,0.009548
127,0.010408,0.00934
127,0.01019,0.009533
127,0.010385,0.009247
127,0.010184,0.009628
128,0.010486,0.009525
128,0.010391,0.009591
128,0.01044,0.009834
128,0.010718,0.009557
128,0.010408,0.009442
128,0.010289,0.009647
128,0.010506,0.01026
128,0.011201,0.009419
128,0.010272,0.010357
128,0.011228,0.009454
128,0.010309,0.009719
128,0.010584,0.009745
128,0.010607,0.009453
128,0.010309,0.009729
128,0.010596,0.009671
128,0.010521,0.00967
128,0.010525,0.009636
128,0.01049,0.009692
128,0.010584,0.009474
128,0.010332,0.009465
128,0.010323,0.00978
128,0.010639,0.009466
128,0.010329,0.009587
128,0.010449,0.009773
128,0.01063,0.009646
128,0.010506,0.009412
128,0.010316,0.009737
128,0.010602,0.009478
129,0.010346,0.010502
129,0.011358,0.010519
129,0.011386,0.01072
129,0.011587,0.01024
129,0.011296,0.009611
129,0.010478,0.010491
129,0.011345,0.009675
